Quest ID,Quest Grade,Map Biome,Structure,Quest Boss Type,Quest Boss Minion Type,Mob Variety (INT),Structure Information,Quest Objective,Quest Level,Suitable Weapon Type,Suitable Attribute,Suitable Party Size,Loot Drop Grade
66,E,Desert,None,Rabid Hound Alpha Frothjaw,Feral Chicken,3,"1 Rabid Hound Alpha Frothjaw (Empowered), 6 Slime Small Champions, 2 Rats",Drive Rabid Hound Alpha Frothjaw from the storage cellar before it eats all the supplies,10,Bow,Dark,3,F
67,E,Cursed Badlands,None,Slime Mother Bubbleblob,Stray Mutt,2,"1 Slime Mother Bubbleblob (Empowered), 4 Zombie Stumbler Champions, 5 Slime Smalls",Defeat Slime Mother Bubbleblob as part of your rookie Guild training exercise,40,Scythe,Poison,4,E
68,F,Deep Ocean,None,Mushroom Spore Walker,Slime Tiny,1,"1 Mushroom Spore Walker (Empowered), 5 Slime Tiny Champions, 4 Mischievous Sprites",Deal with Mushroom Spore Walker that has been haunting the outhouse behind the guild hall,20,Trident,Poison,1,F
69,SS,Feywilds,rift gate,Dark Seraph Malacros,Dread Specter,9,"1 Dark Seraph Malacros (Elite), 16 Vampire Elders, 16 Plague Dragons, 24 Abyssal Crawlers",Eliminate Dark Seraph Malacros to stop the death plague spreading across the kingdoms,70,Chakram / Staff,Dark / Water,4,S
70,D,Obsidian Fields,floating fortress,Cave Bear Clawswipe,Stray Dog,3,"1 Cave Bear Clawswipe, 8 Elite Mudcrabs, 10 Skeleton Rattle Guardians, 4 Scout Cave Bats",Clear the abandoned floating fortress overrun by Cave Bear Clawswipe and its followers,40,Runic Blade,Earth / Radiant,3,E
71,F,Volcanic,fort,Small Slime Cluster,Small Bat,2,"1 Small Slime Cluster (Empowered), 2 Zombie Shuffle Champions, 3 Insect Swarms",Drive away Small Slime Cluster that keeps startling farm animals in the northern field,10,Axe / Runic Blade,Poison / Holy,1,F
72,C,Plains,None,Shadow Imp Captain,Slime Blob,4,"1 Shadow Imp Captain + 1 Wild Dog Lieutenant, 8 Slime Blobs, 4 Skeleton Basic Fodder",Clear the infestation around the area led by Shadow Imp Captain,50,Longsword / Spear,Shadow,5,C
73,D,Forest,floating fortress,Kobold Trap Master Springjaw,Bog Frog Poisoned,2,"1 Kobold Trap Master Springjaw, 4 Slime Drops, 6 Stray Dogs",Kill Kobold Trap Master Springjaw and collect the posted bounty from the Guild board,30,Crossbow,Psychic / Order,2,D
74,D,Petrified Forest,colosseum,Swamp Creeper Bogvine,Bog Frog Poisoned,4,"1 Swamp Creeper Bogvine, 8 Elite Imp Familiars, 6 Undead Farmer Guardians, 2 Scout Cave Bats",Exterminate Swamp Creeper Bogvine that has been stealing food from the market,30,Mace / Wand,Poison,3,E
75,F,Fungal Depths,citadel,Pixie Prankster,Rat,2,"1 Pixie Prankster + 1 Enchanted Leaf Lieutenant, 3 Broken Skeletons, 3 Imp Jr Fodder",Deal with Pixie Prankster that has been haunting the outhouse behind the guild hall,20,Trident,Poison / Dark,2,F
76,B,Fungal Depths,None,Mermaid Witch Coralweave,Merfolk Warrior,7,"1 Mermaid Witch Coralweave, 15 Elite Merfolk Warriors, 15 Kobold Warrior Guardians, 6 Scout Centaur Scouts",Clear Mermaid Witch Coralweave's infestation from the old area on the hill,60,Spear,Water / Void,5,C
77,F,Astral Void,None,Baby Kobold Thrower,Lazy Undead,2,"1 Baby Kobold Thrower, 4 Elite Zombie Shuffles, 4 Baby Goblin Guardians, 2 Scout Imp Jrs","Kill Baby Kobold Thrower and return proof — it's just one, you'll be fine",20,Chakram,Fire,1,F
78,E,Desert,None,Goblin Shaman Murkfire,Rat,4,"1 Goblin Shaman Murkfire (Empowered), 5 Skeleton Fragment Champions, 3 Mushroom Walkers",Kill Goblin Shaman Murkfire and collect its claws for the leatherworker's commission,10,Scimitar,Physical,3,F
79,E,Deep Ocean,None,Kobold Scout Chief Blinkstab,Cave Cricket,4,"1 Kobold Scout Chief Blinkstab, 5 Slime Smalls, 3 Mischievous Pixies",Kill Kobold Scout Chief Blinkstab and return physical proof of the kill to the Guild,40,Soul Sword / Trident,Necrotic,2,E
80,D,Deep Ocean,shipwreck,Marsh Troll Sludgefist,Stray Dog,2,"1 Marsh Troll Sludgefist (Empowered), 8 Slime Drop Champions, 6 Undead Farmers",Drive off Marsh Troll Sludgefist before it destroys the harvest fields,30,Soul Sword,Physical / Nature,3,D
81,A,Abyssal Rift,ruins,Undead Knight Boneshatter,Swamp Lurker,6,"1 Undead Knight Boneshatter (Empowered), 16 Cultist Warrior Champions, 4 Dark Elf Rogues",Clear the ruins of all monsters rallied under Undead Knight Boneshatter's command,80,Soul Sword / Scythe,Holy,4,A
82,B,Obsidian Fields,None,Kobold Shaman Scalespell,Hag Spawn,7,"1 Kobold Shaman Scalespell (Empowered), 6 Merfolk Warrior Champions, 3 Centaur Scouts",Eliminate Kobold Shaman Scalespell blocking access to the region's only fresh water source,50,Axe,Astral / Holy,3,B
83,F,Floating Isles,None,Animated Scarecrow,Imp Jr,2,"1 Animated Scarecrow (Elite), 5 Zombie Shuffles, 3 Insect Swarms, 4 Dog Strays",Deal with Animated Scarecrow that has been haunting the outhouse behind the guild hall,0,Bow,Wind,2,F
84,D,Petrified Forest,celestial sanctum,Undead Soldier Bonegrind,Mudcrab,2,"1 Undead Soldier Bonegrind (Elite), 10 Feral Cats, 4 Undead Farmers, 6 Slime Drops",Exterminate Undead Soldier Bonegrind that has been stealing food from the market,50,Axe,Holy / Nature,3,D
85,E,Underdark,None,Forest Sprite Corrupted,Feral Chicken,3,"1 Forest Sprite Corrupted, 2 Elite Cave Crickets, 3 Goblin Child Mob Guardians, 4 Scout Bats",Clear Forest Sprite Corrupted from the water well it has contaminated,40,Hand Cannon,Nature,4,F
86,E,Plains,celestial sanctum,Bandit Leader Gruffneck,Rat,3,"1 Bandit Leader Gruffneck (Empowered), 3 Imp Spark Champions, 2 Mushroom Walkers",Exterminate the small pack organized by Bandit Leader Gruffneck near the river,30,Greatsword,Physical,4,F
87,C,Forest,citadel,Forest Witch Thornbriar,Imp,3,"1 Forest Witch Thornbriar + 1 Cultist Initiate Lieutenant, 6 Bandit Thugs, 8 Skeleton Basic Fodder",Kill Forest Witch Thornbriar that has been raiding the local fishing docks at night,30,Shortbow,Nature / Ice,5,C
88,D,Mountains,None,Undead Pirate Captain Seadead,Feral Cat,3,"1 Undead Pirate Captain Seadead + 1 Stray Dog Lieutenant, 4 Goblin Runt Scouts, 8 Slime Drop Fodder",Exterminate Undead Pirate Captain Seadead that has been stealing food from the market,20,Warhammer,Holy / Dark,2,E
89,S,Underground Caverns,colosseum,Dark Paladin Morvanos,Dark Soldier Elite,9,"1 Dark Paladin Morvanos (Empowered), 12 Chimera Spawn Champions, 24 Stone Golems",Eliminate Dark Paladin Morvanos whose lair is poisoning the region's entire water supply,90,Axe / Dagger,Dark / Shadow,4,A
90,F,Desert,None,Baby Kobold Thrower,Insect Swarm,1,"1 Baby Kobold Thrower (Elite), 4 Insect Swarms, 1 Zombie Shuffles, 3 Spore Puffs","Kill Baby Kobold Thrower and return proof — it's just one, you'll be fine",0,Bow,Order,3,F
91,F,Crystal Wastes,None,Bandit Scout Patchwork,Zombie Shuffle,3,"1 Bandit Scout Patchwork + 1 Small Bat Lieutenant, 1 Imp Jrs, 3 Insect Swarm Fodder",Exterminate Bandit Scout Patchwork and its tiny group from the inn's basement,20,Runic Blade,Physical / Arcane,1,F
92,A,Crystal Wastes,shipwreck,Abyssal Imp General,Werewolf Thrall,5,"1 Abyssal Imp General + 1 Golem Shard Lieutenant, 4 Swamp Lurkers, 8 Harpy Scout Fodder",Clear the shipwreck of all monsters rallied under Abyssal Imp General's command,60,Wand,Void,6,B
93,F,Forest,None,Imp Sparklet,Zombie Shuffle,1,"1 Imp Sparklet (Elite), 2 Enchanted Leafs, 1 Mischievous Sprites, 3 Broken Skeletons","Kill Imp Sparklet and return proof — it's just one, you'll be fine",10,Dagger,Poison / Dark,3,F
94,C,Fungal Depths,shipwreck,Ice Troll Frostbite,Orc Lackey,6,"1 Ice Troll Frostbite, 10 Elite Marsh Sprites, 10 Orc Lackey Guardians, 6 Scout Skeleton Basics",Kill Ice Troll Frostbite that has been raiding the local fishing docks at night,60,Staff,Ice,4,D
95,C,Plains,palace,Hobgoblin Sergeant Ironboot,Orc Lackey,5,"1 Hobgoblin Sergeant Ironboot, 6 Slime Blobs, 6 Bat Swarms",Clear the cave overrun by monsters rallying under Hobgoblin Sergeant Ironboot,40,Spear / Greatsword,Physical,2,D
96,F,Frozen Wastes,None,Wild Boar Gruntling,Zombie Shuffle,1,"1 Wild Boar Gruntling + 1 Small Bat Lieutenant, 3 Imp Jrs, 2 Baby Goblin Fodder",Defeat Wild Boar Gruntling in the starter training zone under instructor supervision,20,Maul,Radiant,3,F
97,A,Coral Reef,None,Cave Troll Boulderback,Naga Sentry,4,"1 Cave Troll Boulderback (Empowered), 20 Naga Sentry Champions, 8 Cultist Warriors",Rescue the kidnapped noble's children held in Cave Troll Boulderback's camp,80,Spear / Crossbow,Physical / Arcane,3,B
98,F,Feywilds,None,Aggressive Rabbit (Cursed),Slime Tiny,3,"1 Aggressive Rabbit (Cursed) (Elite), 3 Rats, 1 Imp Jrs, 4 Small Bats",Drive away Aggressive Rabbit (Cursed) that keeps startling farm animals in the northern field,10,Rapier / Chakram,Fire,3,F
